Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Harian(ton);Timbulan Sampah Tahunan(ton)
2024;Aceh;Kabupaten Aceh Selatan;95,79;34.963,35
2024;Aceh;Kabupaten Aceh Tenggara;114,68;41.859,66
2024;Aceh;Kabupaten Aceh Timur;184,56;67.363,09
2024;Aceh;Kabupaten Aceh Tengah;113,98;41.601,58
2024;Aceh;Kabupaten Aceh Barat;102,55;37.432,21
2024;Aceh;Kabupaten Aceh Besar;149,14;54.434,93
2024;Aceh;Kabupaten Pidie;181,02;66.071,86
2024;Aceh;Kabupaten Aceh Utara;307,32;112.171,80
2024;Aceh;Kabupaten Simeulue;45,68;16.673,93
2024;Aceh;Kabupaten Aceh Singkil;54,90;20.039,08
2024;Aceh;Kabupaten Bireuen;161,77;59.046,49
2024;Aceh;Kabupaten Aceh Barat Daya;80,03;29.210,59
2024;Aceh;Kabupaten Gayo Lues;41,94;15.308,98
2024;Aceh;Kabupaten Aceh Jaya;50,34;18.373,01
2024;Aceh;Kabupaten Nagan Raya;70,58;25.763,31
2024;Aceh;Kabupaten Aceh Tamiang;123,64;45.127,58
2024;Aceh;Kabupaten Bener Meriah;68,81;25.117,26
2024;Aceh;Kabupaten Pidie Jaya;82,58;30.143,46
2024;Aceh;Kota Banda Aceh;259,40;94.679,61
2024;Aceh;Kota Sabang;17,41;6.354,94
2024;Aceh;Kota Lhokseumawe;100,20;36.571,41
2024;Aceh;Kota Langsa;97,37;35.538,23
2024;Aceh;Kota Subulussalam;48,89;17.843,03
2024;Sumatera Utara;Kabupaten Nias;59,20;21.606,39
2024;Sumatera Utara;Kabupaten Langkat;533,36;194.674,76
2024;Sumatera Utara;Kabupaten Simalungun;517,96;189.055,40
2024;Sumatera Utara;Kabupaten Dairi;132,23;48.265,41
2024;Sumatera Utara;Kabupaten Toba;110,35;40.278,85
2024;Sumatera Utara;Kabupaten Humbang Hasundutan;61,41;22.414,65
2024;Sumatera Utara;Kabupaten Samosir;57,23;20.888,37
2024;Sumatera Utara;Kota Medan;1.731,92;632.149,41
2024;Sumatera Utara;Kota Sibolga;41,29;15.069,44
2024;Sumatera Utara;Kota Tanjung Balai;93,10;33.982,78
2024;Sumatera Barat;Kabupaten Pesisir Selatan;157,61;57.526,37
2024;Sumatera Barat;Kabupaten Solok;162,15;59.185,48
2024;Sumatera Barat;Kabupaten Sijunjung;100,18;36.565,78
2024;Sumatera Barat;Kabupaten Tanah Datar;131,35;47.943,05
2024;Sumatera Barat;Kabupaten Padang Pariaman;229,58;83.798,34
2024;Sumatera Barat;Kabupaten Lima Puluh Kota;160,43;58.558,56
2024;Sumatera Barat;Kabupaten Pasaman;127,23;46.439,68
2024;Sumatera Barat;Kabupaten Dharmasraya;121,10;44.200,04
2024;Sumatera Barat;Kabupaten Solok Selatan;76,62;27.964,84
2024;Sumatera Barat;Kota Padang;629,70;229.840,56
2024;Sumatera Barat;Kota Solok;58,73;21.438,24
2024;Sumatera Barat;Kota Sawahlunto;19,15;6.988,44
2024;Sumatera Barat;Kota Padang Panjang;50,71;18.508,71
2024;Sumatera Barat;Kota Bukittinggi;132,99;48.542,31
2024;Sumatera Barat;Kota Pariaman;41,11;15.003,69
2024;Riau;Kabupaten Bengkalis;261,14;95.314,82
2024;Riau;Kabupaten Rokan Hulu;282,75;103.202,06
2024;Riau;Kabupaten Siak;192,07;70.104,67
2024;Riau;Kabupaten Kuantan Singingi;146,40;53.434,39
2024;Riau;Kota Pekanbaru;1.011,01;369.019,82
2024;Riau;Kota Dumai;171,77;62.696,60
2024;Jambi;Kabupaten Bungo;150,77;55.029,30
2024;Jambi;Kota Jambi;447,99;163.516,42
2024;Jambi;Kota Sungai Penuh;51,11;18.655,88
2024;Sumatera Selatan;Kabupaten Ogan Komering Ulu;154,94;56.552,81
2024;Sumatera Selatan;Kabupaten Muara Enim;235,17;85.838,07
2024;Sumatera Selatan;Kabupaten Lahat;275,34;100.498,31
2024;Sumatera Selatan;Kabupaten Musi Rawas;168,60;61.540,61
2024;Sumatera Selatan;Kabupaten Musi Banyuasin;282,92;103.264,34
2024;Sumatera Selatan;Kabupaten Ogan Komering Ulu Timur;281,12;102.609,82
2024;Sumatera Selatan;Kabupaten Penukal Abab Lematang Ilir;106,11;38.730,15
2024;Sumatera Selatan;Kota Pagar Alam;76,77;28.021,42
2024;Sumatera Selatan;Kota Prabumulih;101,66;37.104,08
2024;Bengkulu;Kabupaten Bengkulu Utara;186,83;68.192,66
2024;Bengkulu;Kabupaten Seluma;107,50;39.238,60
2024;Bengkulu;Kabupaten Lebong;45,91;16.757,30
2024;Bengkulu;Kabupaten Bengkulu Tengah;60,57;22.107,87
2024;Lampung;Kabupaten Lampung Utara;254,05;92.728,83
2024;Lampung;Kabupaten Tulang Bawang;173,43;63.301,22
2024;Lampung;Kabupaten Tanggamus;373,71;136.404,50
2024;Lampung;Kabupaten Lampung Timur;571,29;208.521,22
2024;Lampung;Kabupaten Way Kanan;195,91;71.506,86
2024;Lampung;Kabupaten Pesawaran;172,96;63.131,88
2024;Lampung;Kabupaten Pringsewu;174,89;63.834,41
2024;Lampung;Kabupaten Pesisir Barat;69,48;25.360,20
2024;Lampung;Kota Bandar Lampung;770,14;281.100,84
2024;Kepulauan Bangka Belitung;Kabupaten Belitung;95,75;34.947,66
2024;Kepulauan Bangka Belitung;Kabupaten Bangka Selatan;86,43;31.547,53
2024;Kepulauan Bangka Belitung;Kabupaten Bangka Tengah;113,73;41.510,84
2024;Kepulauan Bangka Belitung;Kabupaten Bangka Barat;85,77;31.306,49
2024;Kepulauan Bangka Belitung;Kabupaten Belitung Timur;52,85;19.289,67
2024;Kepulauan Riau;Kabupaten Bintan;57,15;20.858,45
2024;Kepulauan Riau;Kabupaten Karimun;184,34;67.284,39
2024;Kepulauan Riau;Kabupaten Natuna;33,61;12.266,48
2024;Kepulauan Riau;Kota Tanjung Pinang;155,97;56.930,51
2024;DKI Jakarta;Kota Adm. Jakarta Utara;1.396,42;509.694,50
2024;DKI Jakarta;Kota Adm. Jakarta Selatan;1.988,19;725.690,82
2024;Jawa Barat;Kabupaten Cianjur;1.267,50;462.637,87
2024;Jawa Barat;Kabupaten Bandung;1.312,21;478.956,72
2024;Jawa Barat;Kabupaten Garut;1.145,92;418.262,61
2024;Jawa Barat;Kabupaten Ciamis;501,02;182.871,42
2024;Jawa Barat;Kabupaten Kuningan;492,71;179.838,71
2024;Jawa Barat;Kabupaten Majalengka;938,43;342.527,64
2024;Jawa Barat;Kabupaten Sumedang;482,27;176.030,01
2024;Jawa Barat;Kabupaten Indramayu;1.136,54;414.835,78
